time, trident1, trident2, trident3
12:47:14,0.0,0.07783613445377568,0.13010504201680995
12:48:14,0.0,0.0,0.0
12:49:14,0.0,0.0,0.0
12:50:14,0.0,0.0,0.0
12:51:14,0.0,0.0,0.0
12:52:14,0.0,0.0,0.0
12:53:14,0.0,0.0,0.0
12:54:14,0.0,0.0,0.0
12:55:14,0.0,0.0,0.0
12:56:14,0.0,0.0,0.0
12:57:14,0.0,0.0,0.0
12:58:14,0.0,0.0,0.0
12:59:14,0.0,0.0,0.0
13:00:14,0.0,0.0,0.0
13:01:14,0.0,0.0,0.0
13:02:14,0.0,0.0,0.0
13:03:14,0.0,0.0,0.0
13:04:14,0.0,0.0,0.0
13:05:14,0.0,0.0,0.0
13:06:14,0.0,0.0,0.0
13:07:14,0.0,0.0,0.0
13:08:14,0.0,0.0,0.0
13:09:14,0.0,0.0,0.0
13:10:14,0.0,0.0,0.0
13:11:14,0.0,0.0,0.0
13:12:14,0.0,0.0,0.0
13:13:14,0.0,0.0,0.0
13:14:15,6.358046218487388,7.5903361344537785,6.91760504201681
13:15:14,13.695546218487387,12.490336134453774,14.955105042016807
13:16:14,17.495546218487387,15.577836134453776,21.380105042016808
13:17:14,20.170546218487388,17.76533613445378,25.992605042016812
13:18:14,22.133046218487383,19.34033613445378,29.492605042016812
13:19:14,23.495546218487387,20.377836134453776,31.98010504201681
13:20:14,24.495546218487394,21.20283613445378,33.60510504201681
13:21:14,25.15804621848739,21.765336134453776,35.08010504201681
13:22:14,25.808046218487387,22.277836134453775,36.192605042016815
13:23:14,26.133046218487383,22.640336134453776,37.10510504201682
13:24:14,26.69554621848739,23.190336134453773,37.98010504201682
13:25:14,26.79554621848739,23.977836134453774,38.60510504201681
13:26:14,26.783046218487396,24.12783613445378,39.155105042016814
13:27:14,27.020546218487386,26.12783613445378,38.84260504201681
13:28:14,27.35804621848739,28.415336134453774,37.89260504201681
13:29:14,27.433046218487394,30.00283613445378,36.93010504201681
13:30:14,27.40804621848739,30.90283613445378,36.25510504201681
13:31:14,28.208046218487393,31.727836134453774,35.01760504201681
13:32:14,29.583046218487393,32.65283613445377,31.217605042016807
13:33:14,30.870546218487387,33.30283613445378,29.792605042016802
13:34:14,31.85804621848739,32.96533613445378,28.580105042016818
13:35:14,32.29554621848739,33.290336134453774,27.29260504201681
13:36:14,33.158046218487385,33.71533613445377,26.580105042016804
13:37:14,33.533046218487385,33.89033613445378,26.030105042016814
13:38:14,33.87054621848739,34.27783613445378,27.217605042016814
13:39:14,33.883046218487394,33.75283613445378,27.54260504201681
13:40:14,34.33304621848738,33.15283613445378,28.60510504201681
13:41:14,34.63304621848738,32.577836134453776,28.98010504201681
13:42:14,34.82054621848738,31.815336134453773,29.430105042016805
13:43:14,34.70804621848738,31.87783613445378,29.942605042016808
13:44:14,34.508046218487394,31.44033613445378,30.317605042016808
13:45:14,34.633046218487394,31.315336134453773,30.667605042016817
13:46:14,35.04554621848739,30.765336134453776,30.680105042016812
13:47:14,34.95804621848738,30.85283613445378,30.23010504201681
13:48:14,35.033046218487385,30.802836134453784,30.692605042016808
13:49:14,35.0205462184874,30.577836134453776,30.680105042016812
13:50:14,35.10804621848739,30.052836134453777,30.905105042016814
13:51:14,34.470546218487385,31.34033613445378,30.73010504201681
13:52:14,33.945546218487394,31.702836134453776,30.68010504201682
13:53:14,33.033046218487385,33.09033613445378,31.14260504201681
13:54:14,32.38304621848738,33.87783613445378,31.01760504201681
13:55:14,31.645546218487386,34.76533613445378,31.092605042016814
13:56:14,31.208046218487393,35.202836134453776,31.20510504201681
13:57:14,31.145546218487393,35.452836134453776,31.08010504201681
13:58:14,30.808046218487394,35.290336134453774,31.342605042016814
13:59:14,30.97054621848739,35.202836134453776,31.492605042016812
14:00:14,31.083046218487386,34.97783613445378,31.755105042016815
14:01:14,31.170546218487384,34.74033613445378,31.817605042016815
14:02:14,31.145546218487393,33.62783613445378,31.817605042016815
14:03:14,31.358046218487384,33.577836134453776,32.63010504201681
14:04:14,31.270546218487386,32.46533613445378,32.86760504201681
14:05:14,31.17054621848739,33.015336134453776,32.817605042016815
14:06:14,31.42054621848739,32.827836134453776,32.842605042016814
14:07:14,31.458046218487386,32.50283613445378,33.30510504201681
14:08:14,31.09554621848739,32.47783613445378,32.94260504201681
14:09:14,31.35804621848739,32.965336134453786,33.14260504201681
14:10:14,31.03304621848739,32.40283613445378,33.15510504201681
14:11:14,31.183046218487387,32.69033613445378,33.15510504201681
14:12:14,31.058046218487387,32.92783613445378,33.40510504201681
14:13:14,31.233046218487384,32.65283613445378,33.21760504201681
14:14:14,30.958046218487393,32.82783613445378,33.21760504201681
14:15:14,31.34554621848739,32.84033613445378,33.16760504201681
14:16:14,31.295546218487384,32.602836134453774,33.19260504201681
14:17:14,31.22054621848738,32.55283613445378,33.23010504201681
14:18:14,31.470546218487396,32.41533613445378,33.18010504201681
14:19:14,31.470546218487396,32.62783613445377,33.142605042016804
14:20:14,31.208046218487386,32.540336134453774,33.14260504201681
14:21:14,31.333046218487386,32.640336134453776,33.430105042016805
14:22:14,31.233046218487384,32.715336134453786,33.50510504201681
14:23:14,31.245546218487387,32.86533613445378,33.29260504201681
14:24:14,31.195546218487383,32.74033613445378,33.44260504201681
14:25:14,31.28304621848739,32.727836134453774,33.405105042016814
14:26:14,31.270546218487393,32.61533613445378,33.242605042016805
14:27:14,31.183046218487387,32.77783613445378,33.1051050420168
14:28:14,31.15804621848739,32.80283613445378,33.04260504201681
14:29:14,31.070546218487383,31.790336134453774,33.09260504201681
