time, trident1, trident2, trident3
23:33:44,0.0,0.0,0.0
23:34:44,0.0,0.0,0.0
23:35:44,0.0,0.0,0.0
23:36:44,0.0,0.0,0.0
23:37:44,0.0,0.0,0.0
23:38:44,0.0,0.0,0.0
23:39:44,0.0,0.0,0.0
23:40:44,0.0,0.0,0.0
23:41:45,0.0,0.0,0.0
23:42:44,0.0,0.0,0.0
23:43:44,0.0,0.0,0.0
23:44:44,0.0,0.0,0.0
23:45:44,0.0,0.0,0.0
23:46:44,7.2718697478991565,7.026008403361379,8.12945378151262
23:47:44,13.746869747899161,14.001008403361377,15.554453781512617
23:48:44,17.634369747899157,16.976008403361377,21.254453781512623
23:49:44,20.08436974789916,19.02600840336138,25.67945378151262
23:50:44,22.159369747899156,20.501008403361382,29.041953781512618
23:51:44,23.55936974789916,21.501008403361382,31.67945378151262
23:52:44,24.346869747899163,22.476008403361377,33.816953781512616
23:53:44,25.23436974789916,23.138508403361378,35.52945378151262
23:54:44,25.83436974789916,23.501008403361382,36.74195378151262
23:55:44,26.171869747899166,23.77600840336138,37.94195378151262
23:56:44,26.67186974789916,24.251008403361382,38.45445378151261
23:57:44,27.071869747899157,24.33850840336138,39.266953781512626
23:58:44,27.05936974789917,25.063508403361382,39.70445378151262
23:59:46,27.346869747899163,25.951008403361385,39.71695378151262
00:00:44,27.696869747899157,26.951008403361378,39.07945378151262
00:01:44,27.58436974789916,27.83850840336138,39.42945378151261
00:02:44,27.759369747899164,28.701008403361385,39.24195378151262
00:03:44,28.059369747899154,29.288508403361377,39.05445378151263
00:04:44,28.171869747899166,29.013508403361385,38.816953781512616
00:05:44,28.596869747899156,29.951008403361378,38.191953781512616
00:06:44,28.721869747899163,30.163508403361384,38.091953781512615
00:07:44,28.571869747899157,30.688508403361382,37.62945378151262
00:08:44,28.74686974789916,30.688508403361382,37.34195378151262
00:09:44,28.85936974789916,30.52600840336138,37.279453781512615
00:10:44,28.74686974789916,30.601008403361384,37.07945378151261
00:11:44,28.821869747899157,30.888508403361378,37.00445378151262
00:12:44,29.246869747899154,31.113508403361386,37.041953781512625
00:13:44,29.034369747899163,30.913508403361377,37.066953781512616
00:14:44,29.02186974789916,31.05100840336138,36.86695378151262
00:15:44,29.159369747899156,30.851008403361377,37.029453781512615
00:16:44,29.17186974789916,31.563508403361382,37.09195378151262
00:17:44,29.37186974789916,31.001008403361375,37.21695378151262
00:18:44,29.096869747899156,31.02600840336138,37.066953781512616
00:19:44,28.98436974789916,31.413508403361384,37.05445378151261
00:20:44,29.096869747899163,31.588508403361388,36.96695378151262
00:21:44,29.18436974789916,31.538508403361384,36.95445378151262
00:22:44,29.084369747899153,31.58850840336138,37.01695378151262
00:23:44,29.35936974789916,31.738508403361386,37.00445378151262
00:24:44,29.121869747899154,31.55100840336138,36.85445378151262
00:25:44,29.134369747899157,31.488508403361386,36.941953781512616
00:26:44,29.196869747899164,31.488508403361372,36.64195378151262
00:27:44,29.121869747899154,31.513508403361378,36.604453781512625
00:28:44,29.17186974789916,31.50100840336139,36.62945378151262
00:29:44,29.134369747899157,30.951008403361378,36.54195378151262
00:30:44,29.10936974789916,31.42600840336138,36.57945378151262
00:31:44,29.096869747899163,30.851008403361384,36.61695378151262
00:32:44,29.134369747899157,31.501008403361375,36.49195378151262
00:33:44,29.20936974789916,31.638508403361385,36.67945378151262
00:34:44,29.309369747899154,31.58850840336138,36.75445378151262
00:35:44,29.071869747899164,31.46350840336138,36.79195378151262
00:36:44,29.18436974789916,31.05100840336138,37.016953781512626
00:37:44,28.034369747899156,29.83850840336138,36.129453781512616
00:38:44,26.12186974789916,27.90100840336138,33.46695378151262
00:39:44,25.08436974789916,27.076008403361378,32.34195378151262
00:40:44,24.43436974789916,26.36350840336138,31.091953781512615
00:41:44,23.821869747899157,26.813508403361382,30.07945378151262
00:42:44,22.85936974789915,25.876008403361382,29.57945378151262
00:43:44,22.77186974789916,25.101008403361377,28.82945378151262
00:44:44,23.384369747899157,24.976008403361384,28.729453781512618
00:45:44,22.35936974789916,25.063508403361382,27.791953781512618
00:46:44,22.409369747899156,24.80100840336138,27.76695378151262
00:47:44,22.284369747899163,24.888508403361378,27.379453781512623
00:48:44,21.871869747899154,24.701008403361385,27.379453781512616
00:49:44,21.884369747899157,25.263508403361385,27.566953781512623
00:50:44,21.93436974789916,24.788508403361384,27.416953781512618
00:51:44,21.546869747899162,25.001008403361375,27.32945378151262
00:52:44,21.79686974789916,24.86350840336138,27.241953781512628
00:53:44,21.50936974789916,24.67600840336138,26.76695378151262
00:54:44,21.64686974789916,24.638508403361385,27.254453781512616
00:55:44,22.159369747899156,24.463508403361388,27.066953781512623
00:56:44,22.58436974789916,24.36350840336138,27.291953781512618
00:57:44,21.884369747899157,24.976008403361384,27.341953781512615
00:58:44,22.14686974789916,24.501008403361382,27.041953781512618
00:59:44,22.146869747899153,24.826008403361378,27.079453781512626
